ActivityName SubjectID tBodyAccMeanX tBodyAccMeanY tBodyAccMeanZ tBodyAccStdX tBodyAccStdY tBodyAccStdZ tGravityAccMeanX tGravityAccMeanY tGravityAccMeanZ tGravityAccStdX tGravityAccStdY tGravityAccStdZ tBodyAccJerkMeanX tBodyAccJerkMeanY tBodyAccJerkMeanZ tBodyAccJerkStdX tBodyAccJerkStdY tBodyAccJerkStdZ tBodyGyroMeanX tBodyGyroMeanY tBodyGyroMeanZ tBodyGyroStdX tBodyGyroStdY tBodyGyroStdZ tBodyGyroJerkMeanX tBodyGyroJerkMeanY tBodyGyroJerkMeanZ tBodyGyroJerkStdX tBodyGyroJerkStdY tBodyGyroJerkStdZ tBodyAccMagMean tBodyAccMagStd tGravityAccMagMean tGravityAccMagStd tBodyAccJerkMagMean tBodyAccJerkMagStd tBodyGyroMagMean tBodyGyroMagStd tBodyGyroJerkMagMean tBodyGyroJerkMagStd fBodyAccMeanX fBodyAccMeanY fBodyAccMeanZ fBodyAccStdX fBodyAccStdY fBodyAccStdZ fBodyAccJerkMeanX fBodyAccJerkMeanY fBodyAccJerkMeanZ fBodyAccJerkStdX fBodyAccJerkStdY fBodyAccJerkStdZ fBodyGyroMeanX fBodyGyroMeanY fBodyGyroMeanZ fBodyGyroStdX fBodyGyroStdY fBodyGyroStdZ fBodyAccMagMean fBodyAccMagStd fBodyBodyAccJerkMagMean fBodyBodyAccJerkMagStd fBodyBodyGyroMagMean fBodyBodyGyroMagStd fBodyBodyGyroJerkMagMean fBodyBodyGyroJerkMagStd
1 LAYING -0.85384825 0.20536516 -0.11634455 -0.057141957 -0.075709734 -0.30853842 -0.20846369 0.75004236 0.49372868 1 -0.12138076 -0.46461304 0.63499788 -0.24402785 -0.27073998 -0.82362076 -0.51846722 -0.72322201 0.28970212 -0.5276892 0.88313596 -0.74160174 -0.71091979 -0.8100209 -0.20069733 -0.21563137 0.052822517 -0.58003695 -0.81062212 -0.81564684 -0.004080487 0.58264429 -0.004080487 0.58264429 -0.68147438 -0.67049733 -0.38652155 -0.69647977 -0.742935 -0.76780332 -0.20825394 -0.25970562 -0.48288686 -0.0037170733 -0.048127766 -0.27520447 -0.82260844 -0.5610387 -0.69262888 -0.84101202 -0.50344636 -0.75232175 -0.61832597 -0.68769815 -0.76059728 -0.78285712 -0.72824041 -0.84673236 0.22740813 0.50279864 -0.6589593 -0.68464749 -0.69771972 -0.74868685 -0.76069916 -0.79247132 6
2 LAYING -0.36723978 0.087724044 -0.32763493 -0.32346662 -0.31081262 -0.65628158 -0.2609835 0.93227999 0.10545887 0.38173281 -0.39778354 -0.52534658 0.57909929 -0.43722369 0.12096751 -0.92782765 -0.81668443 -0.93343091 0.19460752 0.14380186 1 -0.86787782 -0.85950439 -0.81591006 -0.20665611 -0.13170249 -0.074214374 -0.87109408 -0.89336939 -0.7972801 -0.3948375 0.19135893 -0.3948375 0.19135893 -0.89313554 -0.8698423 -0.49620863 -0.74655095 -0.89093694 -0.84503619 -0.36491407 -0.40127013 -0.79183755 -0.30762859 -0.30945628 -0.62054033 -0.92208549 -0.8087537 -0.9164027 -0.94196274 -0.84089666 -0.95171618 -0.80375273 -0.84926236 -0.75149072 -0.88939002 -0.8671429 -0.85969612 -0.015509067 0.10723114 -0.87164878 -0.86667102 -0.78160932 -0.76619882 -0.85108439 -0.8477606 6
3 WALKING -0.36120533 -0.26812111 0.17689637 -0.59939182 0.53250573 0.0043240256 -0.36048 0.71643717 0.6629796 -0.57217277 -0.72466654 -0.78630016 0.020624221 -0.26870572 0.23693914 -0.64824281 -0.25032928 -0.61258935 -0.23782482 0.0013208186 -0.098544364 -0.081294431 -0.67023793 -0.57189809 -0.26163473 -0.11985833 -0.012435592 -0.36262562 -0.72314441 -0.71632539 -0.062945893 0.30788151 -0.062945893 0.30788151 -0.56428225 -0.33962197 -0.40112981 0.27340612 -0.67562773 -0.53941555 -0.62167946 0.26319965 -0.25634415 -0.59077718 0.56288903 0.054977589 -0.63698626 -0.21058319 -0.57076123 -0.69447248 -0.36007731 -0.65294977 0.0057825797 -0.66275526 -0.53699297 -0.11375026 -0.67722657 -0.62303729 -0.091821255 0.28069657 -0.35848249 -0.32035278 -0.10202009 0.27991626 -0.60822781 -0.49217599 6
4 WALKING -0.27706634 -0.68409659 0.34665772 -0.59641047 0.024682958 -0.16040449 -0.57349604 0.52510468 0.77976328 -0.24241051 0.069459782 -0.14768193 0.17061123 -0.3848919 -0.028640525 -0.67369935 -0.26985594 -0.62029149 -0.22981397 -0.084139792 0.12658478 -0.11708191 -0.70508529 -0.72542219 0.60049262 -0.14450577 0.10627918 -0.45691937 -0.74054968 -0.74996313 0.29483896 -0.040902739 0.29483896 -0.040902739 -0.62540929 -0.29310124 -0.48420622 0.25838625 -0.75023599 -0.54078957 -0.60838922 0.029028661 -0.31756454 -0.59163789 -0.042426101 -0.14414422 -0.65892981 -0.24437788 -0.5777608 -0.72221064 -0.35761019 -0.66152622 0.20023571 -0.68059349 -0.64274198 -0.21899757 -0.72334622 -0.78386911 -0.220785 -0.10278022 -0.33175609 -0.25098304 0.10504627 0.14654068 -0.61261081 -0.49043707 6
5 SITTING -0.27033343 0.059234721 -0.056666829 -0.41160194 -0.47189892 -0.85158078 -0.22113589 0.92433509 0.1582458 0.22838746 -0.55808291 -0.82000309 0.47816886 -0.25380572 -0.098051946 -0.90656374 -0.66133212 -0.90570575 0.13724607 -0.0080261391 0.77914893 -0.88557007 -0.88838299 -0.86043701 -0.10525916 -0.078776851 -0.17409081 -0.87684777 -0.93674488 -0.92890765 -0.52083476 -0.024711267 -0.52083476 -0.024711267 -0.84568403 -0.74513737 -0.62168128 -0.81640619 -0.92658029 -0.91253306 -0.47434129 -0.50275511 -0.84619797 -0.38842451 -0.48864597 -0.86633151 -0.9058315 -0.65426271 -0.89114588 -0.91598816 -0.69541218 -0.91942436 -0.8601466 -0.89163658 -0.81946263 -0.89361266 -0.88710496 -0.88961349 -0.21024079 -0.086485482 -0.74355849 -0.7470127 -0.84453789 -0.82887424 -0.91060079 -0.9207544 6
6 WALKING -0.23910256 -0.096904391 0.14803461 -0.63732529 -0.12769222 -0.25892403 -0.18770377 0.70262213 0.63722785 -0.33694561 -0.6855982 -0.39074878 0.11314268 0.074806311 -0.10382637 -0.87257116 -0.64257101 -0.83199907 -0.035961192 -0.034605486 0.058812713 -0.38879976 -0.74479878 -0.59595082 -0.096588812 -0.074083925 -0.056614254 -0.5884292 -0.89356735 -0.81213818 -0.36210824 -0.1266784 -0.36210824 -0.1266784 -0.82366323 -0.68634475 -0.54709337 -0.23749421 -0.83080792 -0.71704468 -0.78254802 -0.35302765 -0.58238308 -0.59362341 -0.082021234 -0.17499567 -0.86668292 -0.65948137 -0.80855043 -0.89167443 -0.64779561 -0.8546971 -0.35137583 -0.80542284 -0.63205493 -0.40513477 -0.71526611 -0.62155844 -0.50202182 -0.11108042 -0.72546081 -0.64267705 -0.45857638 -0.2351279 -0.76196065 -0.68522496 6
7 WALKING_DOWNSTAIRS -0.18139412 0.32412953 0.12938955 -0.86725839 -0.58149634 -0.77724214 0.85160108 0.15402201 0.31758838 -0.63471982 -0.3816511 -0.59478792 0.028091579 0.022948628 0.022076611 -0.94188686 -0.89537775 -0.94242064 -0.022568075 0.053439898 -0.12877734 -0.94156251 -0.84212988 -0.66235395 -0.10689794 -0.068795005 0.060081544 -0.94722647 -0.93945243 -0.91282162 -0.36295861 -0.54400762 -0.36295861 -0.54400762 -0.92758985 -0.92479248 -0.76664531 -0.87464991 -0.94007559 -0.93497774 -0.90454525 -0.78857036 -0.87453252 -0.85472652 -0.52944021 -0.75019189 -0.94141656 -0.89892017 -0.93432136 -0.94776018 -0.89850514 -0.94923465 -0.92974768 -0.88089129 -0.74652597 -0.94527512 -0.82323542 -0.66960318 -0.79037647 -0.5221581 -0.92619374 -0.92129726 -0.90567315 -0.87644641 -0.9353716 -0.93847223 4
8 WALKING -0.16642569 -0.11935251 0.13303497 -0.63313536 -0.18977503 -0.31933629 -0.041699844 0.75554154 0.54742535 -0.85563269 -0.96354752 -0.89836031 -0.043507411 -0.053766392 0.19503419 -0.87762809 -0.65065842 -0.83940869 -0.059379779 0.08809224 0.13125568 -0.42283371 -0.78810663 -0.56517871 -0.04233134 -0.07304167 -0.056678688 -0.60586863 -0.89932747 -0.81663018 -0.51842779 0.064073395 -0.51842779 0.064073395 -0.85561065 -0.66085342 -0.59910183 -0.21074593 -0.86875596 -0.69583753 -0.74175973 -0.37047418 -0.54169783 -0.59792408 -0.15788015 -0.26673644 -0.87009876 -0.66911521 -0.81513119 -0.89850916 -0.6535219 -0.86326895 -0.37539089 -0.82273127 -0.62389734 -0.44130719 -0.77061732 -0.587152 -0.40526174 0.085678963 -0.72619041 -0.59248301 -0.44981321 -0.20359081 -0.76672615 -0.64139664 6
9 WALKING -0.083287063 0.010297707 -0.51608391 -0.73819996 -0.87810967 0.057095425 -0.16876892 0.91490323 -0.16464523 -0.50351963 -0.92489589 0.041165989 0.11674395 -0.01798659 0.4417175 -0.88411618 -0.83923653 -0.82066281 -0.11308188 0.11271912 0.3234831 -0.63499812 -0.87574775 -0.74018705 -0.36091469 -0.19322027 -0.11898592 -0.53690886 -0.89167835 -0.8153538 -0.47948386 0.022248669 -0.47948386 0.022248669 -0.88880599 -0.75125642 -0.71786906 -0.48398982 -0.87959102 -0.62769148 -0.82134259 -0.84075912 -0.31242653 -0.71150698 -0.91077832 0.14621084 -0.86598151 -0.82101674 -0.7690232 -0.92118199 -0.87832216 -0.88260826 -0.4264851 -0.8303334 -0.69723778 -0.7078557 -0.91589099 -0.77962949 -0.37994767 0.029689026 -0.78447317 -0.71403814 -0.49524998 -0.56555304 -0.61014116 -0.67951417 6
10 WALKING -0.066238871 0.07922905 -1 -0.68377891 -0.53851271 -0.085059822 -0.055034629 0.87234565 0.15782376 -0.80155298 -0.81839962 0.45837118 0.11101429 -0.22943808 0.34105954 -0.80798975 -0.63378041 -0.7419236 0.072403251 0.13835198 0.45338693 -0.20700613 -0.70200258 -0.41998898 -0.040634044 0.094200146 -0.31226655 -0.36228324 -0.7548533 -0.66232997 -0.027508362 -0.11779886 -0.027508362 -0.11779886 -0.742861 -0.67203974 -0.38195459 0.013564642 -0.70838478 -0.51435629 -0.7624721 -0.50567557 -0.39640328 -0.65734653 -0.58588575 -0.010608281 -0.79581217 -0.6254879 -0.71256591 -0.84125686 -0.67152796 -0.76994999 -0.088673249 -0.66771465 -0.40424581 -0.24657229 -0.72739818 -0.47814391 -0.36346041 -0.14363695 -0.68207355 -0.66053691 -0.18250374 -0.033360614 -0.54765693 -0.50669066 6
